N,P,K,temperature,humidity,ph,rainfall,moisture,Organic_Carbon,Electrical_Conductivity,Soil_Type,Recommended_Fertilizer
61,44,84,19.84,83.31,6.07,1693.22,34.98,0.32,1.87,Clay,MOP
59,56,18,24.4,46.27,6.39,1030.21,47.34,0.28,0.21,Silt,Urea
43,21,119,24.82,71.86,7.92,1166.16,38.13,0.99,1.88,Sandy,Urea
88,46,34,27.87,53.23,5.86,2881.83,14.17,1.46,0.36,Clay,MOP
104,53,98,24.17,51.87,7.98,714.84,19.28,0.85,2.16,Clay,Zinc Sulphate
48,31,87,29.46,52.03,4.85,2682.91,20.97,0.27,1.23,Silt,Urea
56,20,40,36.52,68.36,7.61,2263.05,22.89,0.49,2.53,Sandy,Urea
39,64,22,21.94,62.28,7.89,1917.67,38.27,0.52,2.83,Sandy,Urea
23,19,74,36.3,75.3,5.23,1947.46,35.2,0.64,1.31,Clay,Urea
158,51,39,16.59,39.18,6.22,1384.23,20.16,0.26,1.44,Loamy,MOP
105,89,82,13.64,55.53,5.16,1428.78,13.38,1.38,1.81,Clay,Compost
71,85,113,17.18,81.62,7.33,2429.03,18.57,0.87,0.67,Clay,NPK
62,64,38,16.2,30.19,6.64,2470.42,59.22,1.07,2.79,Clay,MOP
141,59,104,39.55,67.41,7.04,1799.24,33.43,0.29,1.36,Clay,NPK
151,41,27,21.43,77.14,5.29,2352.06,53.37,0.27,0.58,Silt,MOP
96,77,12,29.54,53.03,5.35,2468.15,52.44,0.96,2.31,Sandy,MOP
102,27,44,30.88,83.02,4.67,1129.91,35.58,1.35,0.74,Silt,DAP
88,74,75,23.36,74.14,5.79,1945.4,45.33,0.89,0.52,Silt,NPK
33,34,13,16.71,66.36,6.74,1420.22,19.64,1.34,1.73,Silt,Urea
89,40,50,23.14,41.9,7.93,474.7,44.42,1.25,2.05,Clay,Zinc Sulphate
24,28,88,24.21,70.21,7.17,2015.7,23.62,0.3,1.75,Loamy,Urea
21,27,90,38.62,80.03,6.24,1844.96,51.6,0.46,2.0,Sandy,Urea
25,77,99,27.06,73.79,8.31,487.27,14.19,1.06,0.44,Loamy,Urea
53,42,104,39.1,64.49,7.38,398.28,48.66,0.78,1.48,Silt,Urea
41,79,39,27.3,72.87,8.22,898.98,15.0,0.58,1.14,Silt,Urea
151,16,96,14.35,88.61,6.61,2533.56,54.06,0.74,2.92,Loamy,DAP
132,10,103,21.53,30.65,5.54,378.3,25.21,0.78,0.24,Loamy,DAP
153,89,20,33.77,69.84,4.71,1489.03,42.72,1.38,0.97,Loamy,MOP
86,68,42,22.65,77.58,7.4,701.3,34.38,0.33,2.83,Silt,Zinc Sulphate
96,43,47,12.99,68.33,4.99,909.95,28.32,0.56,2.95,Silt,Compost
109,61,119,12.88,46.39,5.71,2355.79,42.27,0.9,2.49,Sandy,Urea
135,20,14,17.11,79.37,6.63,2581.69,57.38,1.11,0.32,Sandy,DAP
106,17,68,26.94,84.8,6.76,1824.81,12.06,1.02,1.73,Silt,DAP
87,62,108,34.9,71.01,6.9,2617.08,55.94,1.42,1.26,Loamy,DAP
120,24,60,26.01,60.66,5.17,2599.24,40.45,1.23,2.44,Loamy,DAP
76,37,74,32.38,51.98,6.02,820.25,50.37,0.92,0.26,Sandy,DAP
153,23,77,29.37,49.8,6.97,2006.05,29.19,0.48,0.67,Silt,DAP
90,67,67,25.72,73.39,8.38,2379.32,33.59,0.79,1.52,Sandy,Zinc Sulphate
122,66,57,16.44,66.43,7.41,1770.95,53.44,1.1,0.56,Sandy,DAP
152,61,67,36.5,39.41,8.19,2456.18,30.74,1.29,2.11,Clay,Zinc Sulphate
79,46,111,18.27,38.47,7.55,1960.73,36.73,1.45,2.48,Clay,Compost
128,11,46,17.58,34.27,6.87,996.48,11.01,0.99,2.14,Clay,DAP
120,43,16,17.73,71.01,5.27,2119.67,17.93,0.88,1.38,Loamy,MOP
28,43,69,12.87,48.86,7.17,1846.4,42.08,0.22,2.65,Silt,Urea
151,67,68,24.96,31.21,6.99,1949.86,45.85,0.29,0.5,Silt,NPK
93,82,19,19.83,50.26,6.91,466.9,39.13,0.4,0.85,Silt,MOP
115,70,42,25.66,79.93,6.46,552.06,17.17,0.27,1.52,Silt,Compost
148,63,60,23.59,44.86,6.61,2481.03,32.27,0.72,0.28,Clay,Zinc Sulphate
